Compound Sentiment Score,sentiment change,date
0.18195,0.11230000000000001,2014-11-21
0.4926,0.31065,2014-11-22
0.4404,-0.05219999999999997,2014-11-23
0.4582,0.017799999999999983,2014-11-24
0.43095,-0.027249999999999996,2014-11-25
0.0779,-0.35305,2014-11-26
0.4989,0.42100000000000004,2014-11-27
0.47605,-0.022850000000000037,2014-11-28
0.6995,0.22345000000000004,2014-11-29
0.5445,-0.15500000000000003,2014-11-30
0.5994,0.05490000000000006,2014-12-01
0.5006999999999999,-0.09870000000000012,2014-12-02
0.5272,0.02650000000000008,2014-12-03
0.4588,-0.06840000000000002,2014-12-04
0.4219,-0.03689999999999999,2014-12-05
0.4754,0.05349999999999999,2014-12-06
0.4019,-0.07350000000000001,2014-12-07
0.45704999999999996,0.05514999999999998,2014-12-08
0.4767,0.019650000000000056,2014-12-09
0.7149,0.23819999999999997,2014-12-10
0.5562,-0.15869999999999995,2014-12-11
0.4633,-0.09290000000000004,2014-12-12
0.4654,0.0020999999999999908,2014-12-13
0.3601,-0.1053,2014-12-14
0.4576,0.09750000000000003,2014-12-15
0.4481,-0.009500000000000008,2014-12-16
0.38155,-0.06655,2014-12-17
0.2263,-0.15525,2014-12-18
0.46025,0.23395,2014-12-19
0.45809999999999995,-0.0021500000000000408,2014-12-20
0.4738,0.015700000000000047,2014-12-21
0.3612,-0.11259999999999998,2014-12-22
0.54925,0.18805,2014-12-23
0.4404,-0.10885,2014-12-24
0.6124,0.17200000000000004,2014-12-25
0.54385,-0.06855000000000011,2014-12-26
0.43095,-0.11289999999999994,2014-12-27
0.4753,0.04435,2014-12-28
0.4588,-0.016500000000000015,2014-12-29
0.4215,-0.0373,2014-12-30
0.2616,-0.1599,2014-12-31
0.4019,0.14029999999999998,2015-01-01
0.5848,0.1829,2015-01-02
0.3182,-0.2666,2015-01-03
0.36485,0.046650000000000025,2015-01-04
0.5574,0.19255,2015-01-05
0.424,-0.13340000000000002,2015-01-06
0.5077,0.08370000000000005,2015-01-07
0.4199,-0.08780000000000004,2015-01-08
0.4929,0.07300000000000001,2015-01-09
0.46704999999999997,-0.02585000000000004,2015-01-10
0.3612,-0.10584999999999994,2015-01-11
0.6428,0.2816,2015-01-12
0.43095,-0.21185000000000004,2015-01-13
0.3789,-0.052049999999999985,2015-01-14
